,segment_idx,excluded,n_rpeaks_noisy,n_RRI_detected,n_RRI_suprathresh,suprathresh_RRI_values,notes
148,148,False,3.0,339.0,9.0,[ 880.  1752.5  872.5  890.  1787.5  905.   867.5 1730.   875. ],
149,149,False,2.0,335.0,6.0,[ 885.  1770.   885.   857.5 1720.   867.5],
150,150,False,1.0,334.0,1.0,[1270.],
151,151,False,4.0,345.0,19.0,"[ 882.5 1760.   880.   857.5  275.   567.5  775.  1632.5  662.5  545.
  987.5 1052.5 1332.5  355.   817.5  790.  1550.   352.5  427.5]",
152,152,False,0.0,330.0,0.0,[],
153,153,False,2.0,327.0,10.0,[ 905.  1807.5  910.   907.5 1817.5  920.   910.   487.5  415.   912.5],
154,154,False,1.0,342.0,15.0,"[ 897.5 1810.   902.5  865.   377.5  480.   485.   305.   782.5  825.
 3245.   812.5  525.   305.   825. ]",
155,155,False,0.0,341.0,2.0,[ 575.  1067.5],
156,156,False,3.0,366.0,23.0,"[ 917.5 1830.   922.5  935.  1877.5  935.   802.5  295.   515.   317.5
  765.  1540.   760.  2290.   767.5  405.   315.   737.5  900.   762.5
  372.5  392.5  755. ]",
157,157,False,0.0,375.0,7.0,[782.5 285.  685.  985.  805.  347.5 437.5],
158,158,False,0.0,377.0,8.0,[432.5 372.5 815.  815.  807.5 745.  305.  447.5],
159,159,False,1.0,383.0,7.0,[ 765.   382.5  382.5  775.   765.  2077.5  782.5],
160,160,False,0.0,384.0,13.0,"[ 472.5  320.   802.5  437.5  322.5  752.5  292.5  772.5  285.   525.
 1012.5  562.5  897.5]",
161,161,False,1.0,399.0,0.0,[],
162,162,False,1.0,362.0,3.0,[505.  317.5 847.5],
163,163,False,1.0,370.0,5.0,[420.  352.5 757.5 760.  427.5],
164,164,False,1.0,382.0,5.0,[ 677.5 1657.5  765.   510.  1010. ],
165,165,False,1.0,377.0,3.0,[472.5 292.5 752.5],
166,166,False,1.0,391.0,7.0,[497.5 280.  770.  760.  385.  465.  960. ],
167,167,False,0.0,387.0,1.0,[292.5],
168,168,False,0.0,388.0,3.0,[490.  282.5 770. ],
169,169,False,3.0,382.0,10.0,[ 545.  1032.5  610.   960.   500.   265.   765.   510.   282.5  777.5],
170,170,False,4.0,359.0,16.0,"[ 790.   290.   497.5  782.5 4002.5  747.5  755.   767.5 1532.5  785.
  805.   400.   405.   810.  1015.   592.5]",
171,171,False,1.0,353.0,3.0,[ 835.  1682.5  840. ],
172,172,False,1.0,345.0,3.0,[ 870.  1737.5  875. ],
173,173,False,0.0,336.0,0.0,[],
174,174,False,0.0,340.0,0.0,[],
175,175,False,0.0,346.0,0.0,[],
